asset,feature,lag,pearson,spearman
APO,a191rl1q225sbea_level_z,0,0.0011724301990705811,0.03698612844634033
APO,indpro_yoy_z,0,-0.06888854673048762,-0.08079506422350057
APO,payems_level_z,0,-0.009918275211760209,0.0020256708586155908
APO,rrsfs_yoy_z,0,0.007853607416855129,-0.07201329433414763
APO,unrate_diff_z,0,-0.12487598178404583,-0.05097956105061602
APO,civpart_level_z,0,-0.06607904476832785,0.027533942897014437
APO,cpiaucsl_yoy_z,0,-0.03477583442424517,-0.009307888064302303
APO,cpilfesl_yoy_z,0,0.0004061721586220224,0.02357797442184944
APO,pcepi_yoy_z,0,-0.024378483165487366,-0.014379018314474972
APO,fedfunds_diff_z,0,0.04178733475620727,-0.04714544637483668
APO,dgs2_diff_z,0,0.00995762113435793,-0.020472894953013833
APO,dgs10_diff_z,0,-3.6406821278343716e-05,0.012934568667352141
APO,bamlh0a0hym2_diff_z,0,0.6107208483618894,0.5996757423387699
APO,bamlc0a0cm_diff_z,0,0.5325384448871966,0.5748153654584991
APO,stlfsi4_diff_z,0,0.50097141363028,0.5082741933240935
APO,vixcls_diff_z,0,0.5482975396217056,0.45941811658651055
APO,cfnai_level_z,0,-0.08128039937355899,-0.0655344790446103
APO,umcsent_level_z,0,-0.016747042660265547,-0.01822793083982401
APO,dtwexbgs_level_z,0,0.0065273698504559035,-0.0003963271367624795
APO,yield_curve_slope_diff_z,0,0.013957724120080277,0.032478433497913836
ARCC,a191rl1q225sbea_level_z,0,0.03341032022265785,0.01364653711624573
ARCC,indpro_yoy_z,0,-0.16626217922573275,-0.05455043434200495
ARCC,payems_level_z,0,-0.1089487985718144,-0.1181958031104639
ARCC,rrsfs_yoy_z,0,-0.03826743129420463,0.040390382850908624
ARCC,unrate_diff_z,0,-0.10216565690103459,0.014514815539703307
ARCC,civpart_level_z,0,-0.02033463013373909,0.013343940947114595
ARCC,cpiaucsl_yoy_z,0,-0.16189516882302937,-0.1201321969990916
ARCC,cpilfesl_yoy_z,0,-0.062310556217681064,-0.09258263453646601
ARCC,pcepi_yoy_z,0,-0.1479566793865812,-0.09451081176078552
ARCC,fedfunds_diff_z,0,0.19571796101850297,-0.05203504964429709
ARCC,dgs2_diff_z,0,0.15283756315289668,0.11631904938355524
ARCC,dgs10_diff_z,0,0.08667202729260066,0.1049294558803943
ARCC,bamlh0a0hym2_diff_z,0,0.6627136338526193,0.6224100847059634
ARCC,bamlc0a0cm_diff_z,0,0.5278483218687976,0.5406861577947759
ARCC,stlfsi4_diff_z,0,0.5826042329447298,0.49975213062670315
ARCC,vixcls_diff_z,0,0.5160685135223086,0.5014330107150973
ARCC,cfnai_level_z,0,-0.042832874190758784,0.020867063562912232
ARCC,umcsent_level_z,0,-0.03207648910165234,-0.029218395261935315
ARCC,dtwexbgs_level_z,0,-0.029287516042092277,-0.028592628874415618
ARCC,yield_curve_slope_diff_z,0,0.078677560802741,0.030352561909832848
BIZD,a191rl1q225sbea_level_z,0,0.10396409307389093,0.047804325824262126
BIZD,indpro_yoy_z,0,-0.14639757543087925,-0.12776223633254202
BIZD,payems_level_z,0,-0.09703019609157171,-0.0030276928109641823
BIZD,rrsfs_yoy_z,0,0.04793693249948161,-0.03896176626675282
BIZD,unrate_diff_z,0,-0.18547923451673323,0.05928035348056517
BIZD,civpart_level_z,0,-0.25736146587248365,-0.11754052566457168
BIZD,cpiaucsl_yoy_z,0,-0.0419484220488401,0.013435275732505182
BIZD,cpilfesl_yoy_z,0,-0.028158042319650484,0.03217212513635223
BIZD,pcepi_yoy_z,0,-0.02133595008957959,0.022098779589127888
BIZD,fedfunds_diff_z,0,0.16093048042792213,-0.08770576244495917
BIZD,dgs2_diff_z,0,0.1540204626403925,0.06613598828654073
BIZD,dgs10_diff_z,0,0.06551522637078579,0.051666231174121016
BIZD,bamlh0a0hym2_diff_z,0,0.8021957839171746,0.678030589745123
BIZD,bamlc0a0cm_diff_z,0,0.788749335546209,0.603445958409448
BIZD,stlfsi4_diff_z,0,0.7796226656020445,0.5672363813828468
BIZD,vixcls_diff_z,0,0.6189902348361,0.5279209205802167
BIZD,cfnai_level_z,0,-0.09041853274788147,-0.0013815531625966826
BIZD,umcsent_level_z,0,-0.08346324899755081,-0.0942651186136176
BIZD,dtwexbgs_level_z,0,0.0001991051840979316,0.029112456753556615
BIZD,yield_curve_slope_diff_z,0,0.13317048269223467,0.12096446596563772
BKLN,a191rl1q225sbea_level_z,0,-0.020260965929142276,-0.023290568875534563
BKLN,indpro_yoy_z,0,-0.09370415801531415,-0.07726056987637382
BKLN,payems_level_z,0,0.007651267382576978,0.043394319777871525
BKLN,rrsfs_yoy_z,0,-0.044036329685247184,-0.16696024215342256
BKLN,unrate_diff_z,0,-0.08675917661794291,-0.013347669374576399
BKLN,civpart_level_z,0,-0.08108502935711931,-0.015462056321045126
BKLN,cpiaucsl_yoy_z,0,-0.060529078421260714,-0.020699389517500964
BKLN,cpilfesl_yoy_z,0,0.0030222137268399313,0.04876675118550417
BKLN,pcepi_yoy_z,0,-0.039745853687760034,-0.009639319337508286
BKLN,fedfunds_diff_z,0,0.13089595902036552,-0.05813416360081049
BKLN,dgs2_diff_z,0,0.0701684622248948,-0.0289087059402773
BKLN,dgs10_diff_z,0,0.11916864610742958,0.07827841955347195
BKLN,bamlh0a0hym2_diff_z,0,0.8620304322398074,0.8258474694543487
BKLN,bamlc0a0cm_diff_z,0,0.7350816295661099,0.7307163015160176
BKLN,stlfsi4_diff_z,0,0.6757513299699425,0.5721083200838082
