,BX_a191rl1q225sbea_level_z_rolling_corr
2010-06-30,-0.2506396778050453
2010-07-31,-0.1973814098438526
2010-08-31,-0.2059840123181793
2010-09-30,-0.16427290427541885
2010-10-31,-0.15665339355961702
2010-11-30,-0.15125350577221408
2010-12-31,-0.13733021682002522
2011-01-31,-0.11189023560022822
2011-02-28,-0.09016510764081646
2011-03-31,-0.08596734704825323
2011-04-30,-0.07611643067757398
2011-05-31,-0.06788071504949218
2011-06-30,-0.07238062238044654
2011-07-31,-0.07411069155201268
2011-08-31,-0.08951613407382307
2011-09-30,-0.08991389025196551
2011-10-31,-0.148508692122622
2011-11-30,-0.1938275796190235
2011-12-31,-0.19391637029966766
2012-01-31,-0.3948406675188223
2012-02-29,-0.4333784939376054
2012-03-31,-0.20025504109072945
2012-04-30,-0.05961471046789752
2012-05-31,0.008618417852547942
2012-06-30,-0.023422832115691756
2012-07-31,-0.005681980709037199
2012-08-31,0.0659973231842759
2012-09-30,0.10900215696350017
2012-10-31,0.08054415079000035
2012-11-30,0.09865490269484058
2012-12-31,0.07623454091058535
2013-01-31,0.06132814749949623
2013-02-28,0.010077994888453106
2013-03-31,0.002348500617988695
2013-04-30,0.012644151172541336
2013-05-31,0.019873234497545498
2013-06-30,-0.005886152629713623
2013-07-31,-0.05692334577009631
2013-08-31,-0.010469503733279912
2013-09-30,-0.11477884828375091
2013-10-31,-0.11065458731609773
2013-11-30,-0.07678768049874549
2013-12-31,-0.07174796665386592
2014-01-31,-0.07091745112965803
2014-02-28,-0.07063110524450032
2014-03-31,-0.07756284682215138
2014-04-30,0.022753230561102625
2014-05-31,-0.04996945518346338
2014-06-30,-0.11427826434641163
2014-07-31,-0.12614070551042794
2014-08-31,-0.11325044606651084
2014-09-30,-0.151858241928181
2014-10-31,-0.10436955642103571
2014-11-30,-0.10733641746768327
2014-12-31,-0.1243691929890172
2015-01-31,-0.17520090009235464
2015-02-28,-0.15959397565135597
2015-03-31,-0.16430243135578596
2015-04-30,-0.13040132081479733
2015-05-31,-0.09814193877239476
2015-06-30,-0.1339110105637565
2015-07-31,-0.12951881343139596
2015-08-31,-0.12810758151691845
2015-09-30,-0.11994987405426198
2015-10-31,-0.11208937189328175
2015-11-30,-0.12296023618410372
2015-12-31,-0.08846565815649522
2016-01-31,0.03663302901630699
2016-02-29,0.05217851155418135
2016-03-31,0.03897057079688143
2016-04-30,0.02955613118489619
2016-05-31,0.01652312643106712
2016-06-30,0.03693662975116213
2016-07-31,0.032527617168091404
2016-08-31,0.016706996765602035
2016-09-30,0.08039762338127646
2016-10-31,0.06512616160272998
2016-11-30,0.05047176530071978
2016-12-31,0.03183547597890659
