ticker,model,static_hit_rate,static_n,walkforward_hit_rate,walkforward_n,degradation,degradation_pct,data_months
APO,Ridge,65.71428571428571,35,56.52173913043478,138,9.192546583850927,13.988657844990543,174
APO,Lasso,65.71428571428571,35,50.0,138,15.714285714285708,23.91304347826086,174
APO,ElasticNet,65.71428571428571,35,50.0,138,15.714285714285708,23.91304347826086,174
APO,Random Forest,57.14285714285714,35,52.17391304347826,138,4.968944099378881,8.695652173913041,174
APO,Gradient Boosting,51.42857142857142,35,48.55072463768116,138,2.877846790890267,5.595813204508853,174
APO,AdaBoost,65.71428571428571,35,52.17391304347826,138,13.54037267080745,20.604914933837428,174
APO,XGBoost,65.71428571428571,35,50.0,138,15.714285714285708,23.91304347826086,174
ARCC,Ridge,60.416666666666664,48,58.5,200,1.9166666666666643,3.1724137931034444,236
ARCC,Lasso,58.333333333333336,48,62.0,200,-3.6666666666666643,-6.285714285714282,236
ARCC,ElasticNet,58.333333333333336,48,61.5,200,-3.1666666666666643,-5.428571428571424,236
ARCC,Random Forest,45.83333333333333,48,65.5,200,-19.66666666666667,-42.90909090909093,236
ARCC,Gradient Boosting,41.66666666666667,48,56.99999999999999,200,-15.333333333333321,-36.79999999999997,236
ARCC,AdaBoost,58.333333333333336,48,57.99999999999999,200,0.3333333333333428,0.5714285714285876,236
ARCC,XGBoost,43.75,48,61.5,200,-17.75,-40.57142857142857,236
BIZD,Ridge,67.74193548387096,31,54.78260869565217,115,12.959326788218789,19.130434782608692,151
BIZD,Lasso,67.74193548387096,31,62.60869565217392,115,5.13323983169704,7.577639751552774,151
BIZD,ElasticNet,67.74193548387096,31,62.60869565217392,115,5.13323983169704,7.577639751552774,151
BIZD,Random Forest,61.29032258064516,31,60.0,115,1.2903225806451601,2.105263157894735,151
BIZD,Gradient Boosting,61.29032258064516,31,53.91304347826087,115,7.377279102384293,12.036613272311214,151
BIZD,AdaBoost,70.96774193548387,31,55.65217391304348,115,15.315568022440395,21.58102766798419,151
BIZD,XGBoost,67.74193548387096,31,62.60869565217392,115,5.13323983169704,7.577639751552774,151
BKLN,Ridge,77.14285714285715,35,60.14492753623188,138,16.99792960662527,22.034353193773494,174
BKLN,Lasso,80.0,35,65.21739130434783,138,14.782608695652172,18.478260869565215,174
BKLN,ElasticNet,80.0,35,65.21739130434783,138,14.782608695652172,18.478260869565215,174
BKLN,Random Forest,20.0,35,62.31884057971014,138,-42.31884057971014,-211.5942028985507,174
BKLN,Gradient Boosting,80.0,35,69.56521739130434,138,10.434782608695656,13.04347826086957,174
BKLN,AdaBoost,80.0,35,67.3913043478261,138,12.608695652173907,15.760869565217384,174
BKLN,XGBoost,80.0,35,65.21739130434783,138,14.782608695652172,18.478260869565215,174
BX,Ridge,56.81818181818182,44,59.56284153005464,183,-2.7446597118728207,-4.830601092896164,219
BX,Lasso,56.81818181818182,44,61.20218579234973,183,-4.384003974167911,-7.7158469945355215,219
BX,ElasticNet,56.81818181818182,44,61.74863387978142,183,-4.930452061599603,-8.6775956284153,219
BX,Random Forest,59.09090909090909,44,64.48087431693989,183,-5.389965226030796,-9.121479613282885,219
BX,Gradient Boosting,56.81818181818182,44,57.377049180327866,183,-0.5588673621460458,-0.9836065573770406,219
BX,AdaBoost,56.81818181818182,44,62.841530054644814,183,-6.0233482364629936,-10.601092896174869,219
BX,XGBoost,50.0,44,61.74863387978142,183,-11.748633879781423,-23.497267759562845,219
CG,Ridge,43.75,32,45.96774193548387,124,-2.217741935483872,-5.069124423963136,160
CG,Lasso,46.875,32,47.58064516129033,124,-0.7056451612903274,-1.5053763440860317,160
CG,ElasticNet,46.875,32,48.38709677419355,124,-1.5120967741935516,-3.22580645161291,160
CG,Random Forest,53.125,32,50.806451612903224,124,2.318548387096776,4.364326375711578,160
CG,Gradient Boosting,37.5,32,50.0,124,-12.5,-33.33333333333333,160
CG,AdaBoost,46.875,32,50.806451612903224,124,-3.931451612903224,-8.387096774193544,160
CG,XGBoost,37.5,32,45.96774193548387,124,-8.467741935483872,-22.580645161290324,160
HYG,Ridge,62.22222222222222,45,52.43243243243243,185,9.789789789789793,15.733590733590741,221
HYG,Lasso,64.44444444444444,45,64.86486486486487,185,-0.4204204204204274,-0.6523765144454908,221
HYG,ElasticNet,64.44444444444444,45,64.86486486486487,185,-0.4204204204204274,-0.6523765144454908,221
HYG,Random Forest,51.11111111111111,45,64.86486486486487,185,-13.753753753753763,-26.90951821386606,221
HYG,Gradient Boosting,46.666666666666664,45,62.16216216216216,185,-15.495495495495497,-33.20463320463321,221
HYG,AdaBoost,55.55555555555556,45,64.86486486486487,185,-9.309309309309313,-16.756756756756765,221
HYG,XGBoost,64.44444444444444,45,64.86486486486487,185,-0.4204204204204274,-0.6523765144454908,221
IEF,Ridge,52.083333333333336,48,54.50000000000001,200,-2.4166666666666714,-4.640000000000009,236
IEF,Lasso,50.0,48,51.5,200,-1.5,-3.0,236
IEF,ElasticNet,50.0,48,51.5,200,-1.5,-3.0,236
IEF,Random Forest,50.0,48,52.5,200,-2.5,-5.0,236
IEF,Gradient Boosting,47.91666666666667,48,53.0,200,-5.083333333333329,-10.608695652173902,236
IEF,AdaBoost,52.083333333333336,48,49.0,200,3.0833333333333357,5.920000000000004,236
IEF,XGBoost,50.0,48,51.5,200,-1.5,-3.0,236
JNK,Ridge,60.46511627906976,43,50.847457627118644,177,9.617658651951118,15.906127770534543,213
JNK,Lasso,65.11627906976744,43,62.71186440677966,177,2.404414662987783,3.692493946731238,213
